row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
103,MA223,Intraspecific,competition-cooperation,ET,Intraspecific variation in colony founding behavior and social organization in the honey ant Myrmecocystus mendax,"Eriksson, T.H. and Hlldobler, B. and Taylor, J.E. and Gadau, J.",Insectes Sociaux,66,2,283-297,2019,10.1007/s00040-019-00687-y,,,,,,
139,MA315,Intraspecific,competition-cooperation,ET,"Sex differences in intrasexual aggression among sex-role-reversed, cooperatively breeding cichlid fish Julidochromis regani","Ito, Munehiko H. and Yamaguchi, Motoomi and Kutsukake, Nobuyuki",JOURNAL OF ETHOLOGY,35,1,137-144,2017,10.1007/s10164-016-0501-9,,,,,,
156,MA352,Intraspecific,competition-cooperation,ET,State-dependent sentinels: an experimental study in the Arabian babbler,"Wright, J and Maklakov, AA and Khazin, V",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,268,1469,821-826,2001,10.1098/rspb.2000.1574,,,,,,
176,MA387,Intraspecific,competition-cooperation,ET,The social network structure of a wild meerkat population: 3. Position of individuals within networks,"Madden, J. R. and Drewe, J. A. and Pearce, G. P. and Clutton-Brock, T. H.",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,65,10,1857-1871,2011,10.1007/s00265-011-1194-2,,,,,,
22,MA47,Interspecific,plant-animal,JK,"Climate Change and Phenological Mismatch in Trophic Interactions Among Plants, Insects, and Vertebrates","Renner, Susanne S. and Zohner, Constantin M.",NA,49,NA,165-182,2018,10.1146/annurev-ecolsys-110617-062535,,,,,,
34,MA74,Interspecific,host-symbiont,JK,Contrasting effects of Wolbachia on cytoplasmic incompatibility and fecundity in the haplodiploid mite Tetranychus urticae,"Perrot-Minnot, M.-J. and Cheval, B. and Migeon, A. and Navajas, M.",Journal of Evolutionary Biology,15,5,808-817,2002,10.1046/j.1420-9101.2002.00446.x,,,,,,
45,MA94,Interspecific,host-symbiont,JK,Divergent host phenotypes create opportunities and constraints on the distribution of two wing-dwelling feather mites,"Fernandez-Gonzalez, S. and De la Hera, I. and Prez-Rodrguez, A. and Prez-Tris, J.",Oikos,122,8,1227-1237,2013,10.1111/j.1600-0706.2012.00241.x,,,,,,
54,MA112,Interspecific,host-symbiont,JK,Ectosymbiosis is a critical factor in. the local benthic biodiversity of the Antarctic deep sea,"Heterier, Vincent and David, Bruno and De Ridder, Chantal and Rigaud, Thierry",MARINE ECOLOGY PROGRESS SERIES,364,NA,67-76,2008,10.3354/meps07487,,,,,,
59,MA123,Interspecific,host-symbiont,JK,Evolution and invasion dynamics of multiple infections with Wolbachia investigated using matrix based models,"Vautrin, E. and Charles, S. and Genieys, S. and Vavre, F.",JOURNAL OF THEORETICAL BIOLOGY,245,2,197-209,2007,10.1016/j.jtbi.2006.09.035,,,,,,
82,MA181,Interspecific,host-symbiont,JK,Host sharing by the honey bee parasites Lotmaria passim and Nosema ceranae,"Tritschler, M. and Retschnig, G. and Yaez, O. and Williams, G.R. and Neumann, P.",Ecology and Evolution,7,6,1850-1857,2017,10.1002/ece3.2796,,,,,,
101,MA220,Interspecific,plant-animal,JK,Intraspecific differences in plant chemotype determine the structure of arthropod food webs,"Blint, J. and Zytynska, S.E. and Salamon, R.V. and Mehrparvar, M. and Weisser, W.W. and Schmitz, O.J. and Benedek, K. and Balog, A.",Oecologia,180,3,797-807,2016,10.1007/s00442-015-3508-y,,,,,,
104,MA224,Interspecific,host-symbiont,JK,Intraspecific variation in indirect plant-soil feedbacks influences a wetland plant invasion,"Allen, Warwick J. and Meyerson, Laura A. and Flick, Andrew J. and Cronin, James T.",ECOLOGY,99,6,1430-1440,2018,10.1002/ecy.2344,,,,,,
111,MA242,Interspecific,host-symbiont,JK,"Metabolic diversity and niche structure in sponges from the Miskito Cays, Honduras","Freeman, C.J. and Easson, C.G. and Baker, D.M.",PeerJ,2014,12,NA,2014,10.7717/peerj.695,,,,,,
132,MA291,Interspecific,host-symbiont,JK,Potential for endophyte symbiosis to increase resistance of the native grass Poa alsodes to invasion by the non-native grass Microstegium vimineum,"Craig, S. and Kannadan, S. and Flory, S.L. and Seifert, E.K. and Whitney, K.D. and Rudgers, J.A.",Symbiosis,53,1,17-28,2011,10.1007/s13199-010-0102-2,,,,,,
